epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,112.434,1.47423,0.65274,0.8366,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00144371,0.00144371,0.00144371
45,114.951,1.6044,0.6186,0.81313,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00146985,0.00146985,0.00146985
46,117.479,1.61917,0.65605,0.81471,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00149568,0.00149568,0.00149568
47,120.015,1.33667,0.57506,0.80444,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00152118,0.00152118,0.00152118
48,122.545,1.4264,0.5515,0.81026,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00154637,0.00154637,0.00154637
49,125.05,1.86173,0.71362,0.85499,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00157124,0.00157124,0.00157124
50,127.57,1.86204,0.7188,0.83532,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.0015958,0.0015958,0.0015958
51,130.065,1.5954,0.63241,0.8384,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.001604,0.001604,0.001604
52,132.594,1.57904,0.60325,0.82756,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00159608,0.00159608,0.00159608
53,135.117,1.79533,0.74351,0.86413,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00158816,0.00158816,0.00158816
54,137.652,1.94198,0.77699,0.84634,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00158024,0.00158024,0.00158024
55,140.159,1.70028,0.73807,0.81997,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00157232,0.00157232,0.00157232
56,142.728,1.50175,0.67896,0.80798,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.0015644,0.0015644,0.0015644
57,145.252,1.57909,0.68203,0.82104,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00155648,0.00155648,0.00155648
58,147.785,1.61659,0.68726,0.81572,0.18771,0.53488,0.16713,0.07268,0,574,0,0.00154856,0.00154856,0.00154856
59,150.293,1.58113,0.69211,0.83548,0.18771,0.53488,0.16713,0.07268,0,574,0,0.00154064,0.00154064,0.00154064
60,152.828,1.46139,0.59993,0.83354,0.18771,0.53488,0.16713,0.07268,0,nan,0,0.00153272,0.00153272,0.00153272
61,155.341,1.27391,0.63174,0.77912,0.18771,0.53488,0.16713,0.07268,0,nan,0,0.0015248,0.0015248,0.0015248
62,157.936,1.38677,0.63543,0.79707,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00151688,0.00151688,0.00151688
63,160.463,1.33163,0.60867,0.79294,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00150896,0.00150896,0.00150896
64,163.001,1.32248,0.56352,0.79655,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00150104,0.00150104,0.00150104
65,165.505,1.31156,0.61832,0.81556,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00149312,0.00149312,0.00149312
66,168.035,1.54241,0.68445,0.82432,0.18771,0.53488,0.16713,0.07268,0,27520,0,0.0014852,0.0014852,0.0014852
67,170.543,1.33896,0.56292,0.80779,0.18771,0.53488,0.16713,0.07268,0,27520,0,0.00147728,0.00147728,0.00147728
68,173.076,1.49837,0.64621,0.8284,0.18771,0.53488,0.16713,0.07268,0,3900,0,0.00146936,0.00146936,0.00146936
69,175.584,1.36719,0.65624,0.77899,0.18771,0.53488,0.16713,0.07268,0,3900,0,0.00146144,0.00146144,0.00146144
70,178.115,1.285,0.60924,0.80449,0.18771,0.53488,0.16713,0.07268,0,2930,0,0.00145352,0.00145352,0.00145352
71,180.644,1.38293,0.58038,0.8246,0.18771,0.53488,0.16713,0.07268,0,2930,0,0.0014456,0.0014456,0.0014456
72,183.174,1.21775,0.51392,0.80486,0.18771,0.53488,0.16713,0.07268,0,17.8125,0,0.00143768,0.00143768,0.00143768
73,185.683,1.34466,0.58499,0.81541,0.18771,0.53488,0.16713,0.07268,0,17.8125,0,0.00142976,0.00142976,0.00142976
74,188.233,1.3131,0.57872,0.79469,0.18771,0.53488,0.16713,0.07268,1.72553,2.85547,0.59115,0.00142184,0.00142184,0.00142184
75,190.741,1.31125,0.51844,0.80138,0.18771,0.53488,0.16713,0.07268,1.72553,2.85547,0.59115,0.00141392,0.00141392,0.00141392
76,193.282,1.26485,0.53301,0.81145,0.06667,0.02326,0.03436,0.01375,3.28816,5.99545,1.09521,0.001406,0.001406,0.001406
77,195.788,1.13128,0.51713,0.80134,0.06667,0.02326,0.03436,0.01375,3.28816,5.99545,1.09521,0.00139808,0.00139808,0.00139808
78,198.334,1.36856,0.56321,0.8573,0.95223,0.92717,0.9525,0.587,1.36034,0.65312,0.77365,0.00139016,0.00139016,0.00139016
79,201.065,1.43548,0.56663,0.81374,0.95223,0.92717,0.9525,0.587,1.36034,0.65312,0.77365,0.00138224,0.00138224,0.00138224
80,203.825,1.59802,0.67085,0.81111,0.95329,1,0.97078,0.6157,1.31174,0.49,0.76876,0.00137432,0.00137432,0.00137432
81,206.573,1.31142,0.52643,0.80325,0.95329,1,0.97078,0.6157,1.31174,0.49,0.76876,0.0013664,0.0013664,0.0013664
82,209.324,1.26941,0.51079,0.79459,0.96804,1,0.97773,0.65577,1.25929,0.46564,0.77001,0.00135848,0.00135848,0.00135848
83,212.048,1.18242,0.48938,0.79955,0.96804,1,0.97773,0.65577,1.25929,0.46564,0.77001,0.00135056,0.00135056,0.00135056
84,215.489,1.24072,0.59115,0.79547,0.97408,1,0.975,0.59786,1.42661,0.52244,0.77774,0.00134264,0.00134264,0.00134264
85,217.998,1.40875,0.51523,0.78939,0.97408,1,0.975,0.59786,1.42661,0.52244,0.77774,0.00133472,0.00133472,0.00133472
86,220.519,1.24201,0.53868,0.8458,0.97533,1,0.975,0.60515,1.34294,0.51422,0.77229,0.0013268,0.0013268,0.0013268
87,223.031,1.22787,0.51091,0.81815,0.97533,1,0.975,0.60515,1.34294,0.51422,0.77229,0.00131888,0.00131888,0.00131888
88,226.082,1.23383,0.5163,0.81145,0.97302,1,0.97545,0.65895,1.16377,0.47093,0.76339,0.00131096,0.00131096,0.00131096
89,228.793,1.22028,0.5249,0.81788,0.97302,1,0.97545,0.65895,1.16377,0.47093,0.76339,0.00130304,0.00130304,0.00130304
90,231.534,1.20665,0.49179,0.81182,0.97553,1,0.97545,0.6195,1.24636,0.49195,0.76474,0.00129512,0.00129512,0.00129512
91,234.312,1.22391,0.48734,0.81897,0.97553,1,0.97545,0.6195,1.24636,0.49195,0.76474,0.0012872,0.0012872,0.0012872
92,236.849,1.21543,0.47388,0.83545,0.97574,1,0.97818,0.62317,1.34058,0.49483,0.76515,0.00127928,0.00127928,0.00127928
93,239.369,1.36752,0.51153,0.80948,0.97574,1,0.97818,0.62317,1.34058,0.49483,0.76515,0.00127136,0.00127136,0.00127136
94,241.907,1.14884,0.49905,0.79336,0.97582,1,0.97977,0.62888,1.39555,0.49915,0.76656,0.00126344,0.00126344,0.00126344
95,244.418,1.25155,0.50246,0.81316,0.97582,1,0.97977,0.62888,1.39555,0.49915,0.76656,0.00125552,0.00125552,0.00125552
96,246.948,1.212,0.50832,0.78384,0.97586,1,0.97932,0.61402,1.37063,0.48078,0.7673,0.0012476,0.0012476,0.0012476
