epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9851,0,0,149.843,0,0,0,0,0,0,0,0,0,0,0,inf,0,0.00028339,0.00028339,0.00028339
2,28.8249,0,0,70.3946,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.00058114,0.00058114,0.00058114
